,cluster id,cluster number,labeled number,labeled percent(%),cluster rank,specific rank
0,2,338,0,0.00,1.0,5.0
1,0,146,0,0.00,1.0,1.0
2,15,200,0,0.00,1.0,4.0
3,25,182,0,0.00,1.0,2.0
4,14,683,0,0.00,1.0,7.0
5,5,194,0,0.00,1.0,3.0
6,4,670,0,0.00,1.0,6.0
7,3,438,5,1.14,2.0,7.0
8,7,413,1,0.24,2.0,1.5
9,17,412,2,0.49,2.0,3.5
10,21,139,1,0.72,2.0,1.5
11,20,337,2,0.59,2.0,3.5
12,23,466,4,0.86,2.0,5.5
13,24,382,4,1.05,2.0,5.5
14,10,713,7,0.98,2.0,8.0
15,18,122,19,15.57,3.0,4.0
16,16,633,22,3.48,3.0,5.0
17,8,572,13,2.27,3.0,2.0
18,1,435,12,2.76,3.0,1.0
19,22,667,14,2.10,3.0,3.0
20,11,518,34,6.56,3.0,6.0
21,6,668,82,12.28,4.0,2.0
22,13,308,99,32.14,4.0,3.0
23,19,606,103,17.00,4.0,4.0
24,9,265,52,19.62,4.0,1.0
25,12,577,122,21.14,4.0,5.0
